"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"progressr","progressr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.14.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"promises","promises","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.0",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"protolite","protolite","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"proxy","proxy","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"ps","ps","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7.7",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"purrr","purrr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.2",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"qualtRics","qualtRics","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.2.1",NA,NA,"archive, cli, dplyr (>= 1.0), fs, glue, httr, jsonlite,
lifecycle, lubridate, purrr, readr, rlang, sjlabelled, stringr,
tibble, tidyr, withr",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0), vcr (>= 1.2.0),
webmockr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"quantreg","quantreg","C:/Users/bdav_/AppData/Local/R/win-library/4.3","5.98",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"quarto","quarto","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.4",NA,"R (>= 3.6)","cli, jsonlite, later, processx, rlang, rmarkdown, rstudioapi,
tools, utils, yaml",NA,"curl, knitr, rsconnect (>= 0.8.26), testthat (>= 3.1.7),
withr, xfun",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"R.methodsS3","R.methodsS3","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
"R.oo","R.oo","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.26.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.2)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.3"
"R.utils","R.utils","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.12.3",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.3"
"R6","R6","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ragg","ragg","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.2",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"randomcoloR","randomcoloR","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.0.1",NA,NA,"colorspace, stringr, V8, stats, methods, scales, Rtsne,
grDevices, cluster",NA,NA,NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"randomForest","randomForest","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.7-1.1",NA,"R (>= 4.1.0), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"randomNames","randomNames","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6-0.0",NA,"R (>= 4.0)","crayon, data.table (>= 1.14.0), toOrdinal (>= 1.1)",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"RANN","RANN","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.6.2",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
"rapidjsonr","rapidjsonr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"rappdirs","rappdirs","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"raster","raster","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.6-26",NA,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.7-29)","Rcpp","ncdf4, igraph, tcltk, parallel, rasterVis, MASS, sf,
tinytest, gstat, fields, exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"rasterVis","rasterVis","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.51.6",NA,"R (>= 4.0.0), methods, lattice (>= 0.22-5)","raster (>= 3.4-13), terra (>= 1.7-17), latticeExtra, stats,
utils, parallel, grid, grDevices, RColorBrewer, hexbin, sp (>=
1.0-6), zoo, viridisLite",NA,"rgl, ggplot2, colorspace, dichromat, sf",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"rbacon","rbacon","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.2.0",NA,"rintcal (>= 0.6.4), R (>= 3.5.0)","coda (>= 0.19-1), graphics, grDevices, Rcpp (>= 0.12.12),
stats, utils, data.table","Rcpp","knitr, rmarkdown, utf8",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"rbibutils","rbibutils","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.2.16",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"rcarbon","rcarbon","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.1",NA,"R (>= 3.3.0)","sf,stats,spatstat.geom, spatstat.model,spatstat.explore,
spatstat.linnet, spatstat (>=
2.0-0),graphics,grDevices,utils,snow,doSNOW,foreach,iterators,knitr",NA,"rmarkdown, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"rcmdcheck","rcmdcheck","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"RColorBrewer","RColorBrewer","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.3.0"
"Rcpp","Rcpp","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.13",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"RcppArmadillo","RcppArmadillo","C:/Users/bdav_/AppData/Local/R/win-library/4.3","14.0.0-1",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.8), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"RcppEigen","RcppEigen","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.4.0.2",NA,"R (>= 3.6.0)","Rcpp (>= 0.11.0), stats, utils","Rcpp","Matrix, inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"RcppTOML","RcppTOML","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"RCurl","RCurl","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.98-1.16",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"Rdpack","Rdpack","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.6.1",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"readr","readr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.5",NA,"R (>= 3.6)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"readxl","readxl","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.3",NA,"R (>= 3.6)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"recipes","recipes","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.0",NA,"dplyr (>= 1.1.0), R (>= 3.6)","cli, clock (>= 0.6.1), generics (>= 0.1.2), glue, gower,
hardhat (>= 1.4.0), ipred (>= 0.9-12), lifecycle (>= 1.0.3),
lubridate (>= 1.8.0), magrittr, Matrix, purrr (>= 1.0.0), rlang
(>= 1.1.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 1.2.0), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"REdaS","REdaS","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.4",NA,"R (>= 3.0.0), grid","stats",NA,"car, cluster, foreign, GPArotation, MASS, mclust, psych,
UsingR, vcd",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"rematch","rematch","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.0",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rematch2","rematch2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"remotes","remotes","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.5.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, covr, curl, git2r (>= 0.23.0), knitr,
mockery, pingr, pkgbuild (>= 1.0.1), rmarkdown, rprojroot,
testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"renv","renv","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.7",NA,NA,"utils",NA,"BiocManager, cli, covr, cpp11, devtools, gitcreds, jsonlite,
knitr, miniUI, packrat, pak, R6, remotes, reticulate,
rmarkdown, rstudioapi, shiny, testthat, uuid, waldo, yaml,
webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"reprex","reprex","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.1",NA,"R (>= 3.6)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.2.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"reshape2","reshape2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"rgdal","rgdal","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6-7",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"rgeos","rgeos","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6-4",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"RgoogleMaps","RgoogleMaps","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.1",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png",NA,"PBSmapping, RColorBrewer, leaflet, jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.3.3"
"rintcal","rintcal","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.4",NA,"R (>= 3.5.0)","data.table, jsonlite",NA,"knitr, rmarkdown, utf8",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"rioja","rioja","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-6",NA,"R (>= 3.5)","vegan, mgcv, grDevices, methods",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"rjson","rjson","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"rlang","rlang","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.4",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"rmarkdown","rmarkdown","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.28",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.43), methods, tinytex (>= 0.31), tools, utils, xfun (>=
0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, cleanrmd, withr (>= 2.4.2), xml2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"rms","rms","C:/Users/bdav_/AppData/Local/R/win-library/4.3","6.7-0",NA,"R (>= 3.5.0), Hmisc (>= 5.1-0)","methods, survival, quantreg, ggplot2, SparseM, rpart, nlme (>=
3.1-123), polspline, multcomp, htmlTable (>= 1.11.0),
htmltools, MASS, cluster, digest, colorspace, knitr, grDevices",NA,"boot, tcltk, plotly (>= 4.5.6), mice, rmsb, nnet, VGAM,
lattice, kableExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"rnaturalearth","rnaturalearth","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.1",NA,"R (>= 3.1.1)","httr (>= 1.1.0), jsonlite, sf (>= 0.3-4), terra, utils (>=
3.2.3)",NA,"devtools (>= 1.10.0), dplyr, ggplot2, ggrepel, knitr (>=
1.12.3), lifecycle (>= 1.0.3), pbapply, purrr, rlang,
rmarkdown, rnaturalearthdata (>= 0.1.0), rnaturalearthhires (>=
0.1.0), testthat (>= 0.9.1), tmap",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"rnaturalearthdata","rnaturalearthdata","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.0",NA,"R (>= 3.1.1)","",NA,"knitr (>= 1.12.3), testthat (>= 0.9.1)",NA,"CC0",NA,NA,NA,NA,"no","4.3.3"
"RNetCDF","RNetCDF","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.9-2",NA,"R (>= 3.0.0)",NA,NA,"bit64, tools","pbdMPI, Rmpi","GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"rnoaa","rnoaa","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.0",NA,NA,"utils, crul (>= 0.7.0), lubridate, dplyr, tidyr, tidyselect,
ggplot2, scales, XML, xml2, jsonlite, gridExtra, tibble,
isdparser (>= 0.2.0), geonames, hoardr (>= 0.5.2), data.table",NA,"roxygen2 (>= 7.1.0), testthat, taxize, ncdf4, raster,
leaflet, rgdal, purrr, vcr (>= 0.5.4), webmockr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"robustbase","robustbase","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.99-4",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"rootSolve","rootSolve","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8.2.4",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"rosm","rosm","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.0",NA,NA,"curl, jpeg, png, wk, glue, progress, rlang",NA,"sp, plyr, raster, testthat (>= 3.0.0), withr, sf, terra,
abind, methods, jsonlite, tiff, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"roxygen2","roxygen2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","7.3.2",NA,"R (>= 3.6)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 1.0.0), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"rpart","rpart","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.1.23","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.3"
"rprojroot","rprojroot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.4",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rlang, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"rsconnect","rsconnect","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.1",NA,"R (>= 3.5.0)","cli, curl, digest, jsonlite, lifecycle, openssl (>= 2.0.0),
PKI, packrat (>= 0.6), renv (>= 1.0.0), rlang (>= 1.0.0),
rstudioapi (>= 0.5), tools, yaml (>= 2.1.5)",NA,"Biobase, BiocManager, foreign, knitr, MASS, plumber (>=
0.3.2), quarto, RCurl, reticulate, rmarkdown (>= 1.1), shiny,
testthat (>= 3.1.9), webfakes, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"rstatix","rstatix","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.7.2",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"rstudioapi","rstudioapi","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.16.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"Rtsne","Rtsne","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.17",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","irlba, testthat",NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.3"
"Rttf2pt1","Rttf2pt1","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.12",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.1"
"rversions","rversions","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"rvest","rvest","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.4",NA,"R (>= 3.6)","cli, glue, httr (>= 0.5), lifecycle (>= 1.0.3), magrittr,
rlang (>= 1.1.0), selectr, tibble, xml2 (>= 1.3)",NA,"chromote, covr, knitr, R6, readr, repurrrsive, rmarkdown,
spelling, stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"rworldmap","rworldmap","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3-8",NA,"R (>= 2.10.0), sp","fields, methods, raster, terra",NA,"rworldxtra, RColorBrewer, classInt, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"s2","s2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","bit64, testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.3.3"
"sandwich","sandwich","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-0",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.3"
"sass","sass","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.9",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"satellite","satellite","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.5",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"scales","scales","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.0",NA,"R (>= 3.6)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, munsell (>=
0.5), R6, RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"scatterplot3d","scatterplot3d","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3-44",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"selectr","selectr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.3.1"
"sen2r","sen2r","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.5",NA,"R (>= 3.5.0)","methods, sf (>= 0.9.2), stars (>= 0.4.1), data.table, raster,
XML, jsonlite, geojsonio, foreach, parallel, doParallel, httr,
RcppTOML",NA,"leaflet, leafpm, mapedit, s2, shiny, shinyFiles,
shinydashboard, shinyjs, shinyWidgets, spelling, httptest,
knitr, markdown, rmarkdown, sys, tools, units, testthat (>=
2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"servr","servr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.31",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun (>= 0.42), jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.3.3"
"sessioninfo","sessioninfo","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
